data,hora,taxa
2022/02/09,17:18:57,10.859400030054276
2022/02/09,17:19:11,10.548362737359078
2022/02/09,17:19:13,10.54177470737673
2022/02/09,17:19:15,10.92533424556403
2022/02/09,17:19:18,10.846745440964941
2022/02/09,17:19:20,10.744879643160376
2022/02/09,17:19:22,10.199516957812126
2022/02/09,17:19:23,10.835146187375736
2022/02/09,17:19:25,10.984938249701079
2022/02/09,17:19:27,10.706421415737932
2022/02/09,17:25:42,11.0473993955354
2022/02/09,17:25:54,10.487638006373993
2022/02/09,17:25:56,11.026213821827607
2022/02/09,17:25:58,10.75727223033608
2022/02/09,17:26:00,10.250498981935895
2022/02/09,17:26:03,10.547265141452483
2022/02/09,17:26:05,10.85470619240038
2022/02/09,17:26:07,10.836358719773779
2022/02/09,17:26:09,10.849372652937737
2022/02/09,17:26:12,10.83360159572099
